Date;Open;High;Low;Close;Adj Close;Volume
Jun 1. 2010;12.288;12.468;11.882;12.230;12.230;-
May 1. 2010;13.298;13.359;12.146;12.288;12.288;-
Apr 1. 2010;13.508;13.688;13.119;13.298;13.298;-
Mar 1. 2010;13.643;13.817;13.270;13.508;13.508;-
Feb 1. 2010;13.876;14.024;13.450;13.638;13.638;-
Jan 1. 2010;14.327;14.577;13.854;13.877;13.877;-
Dec 1. 2009;15.034;15.138;14.222;14.327;14.327;-
Nov 1. 2009;14.733;15.145;14.629;15.039;15.039;-
Oct 1. 2009;14.543;15.059;14.514;14.733;14.733;-
Sep 1. 2009;14.220;14.837;14.203;14.655;14.655;-
Aug 1. 2009;14.260;14.422;14.082;14.343;14.343;-
Jul 1. 2009;14.039;14.260;13.835;14.260;14.260;-
Jun 1. 2009;14.119;14.337;13.752;14.039;14.039;-
May 1. 2009;13.233;14.170;13.215;14.121;14.121;-
Apr 1. 2009;13.245;13.578;12.546;13.235;13.235;-
Mar 1. 2009;12.679;13.732;12.469;13.247;13.247;-
Feb 1. 2009;12.851;13.084;12.522;12.679;12.679;-
Jan 1. 2009;13.980;14.054;12.776;12.851;12.851;-
Dec 1. 2008;12.675;14.964;12.563;13.980;13.980;-
Nov 1. 2008;12.702;15.082;12.401;12.675;12.675;-
Oct 1. 2008;14.103;15.050;12.343;12.702;12.702;-
Sep 1. 2008;14.693;15.050;13.897;14.096;14.096;-
Aug 1. 2008;15.334;15.336;14.578;14.695;14.695;-
Jul 1. 2008;15.792;16.028;15.314;15.593;15.593;-
Jun 1. 2008;15.564;15.842;15.315;15.750;15.750;-
May 1. 2008;15.478;15.818;15.371;15.558;15.558;-
Apr 1. 2008;15.617;16.013;15.517;15.622;15.622;-
Mar 1. 2008;15.184;15.903;0.0729;15.758;15.758;-
Feb 1. 2008;14.866;15.571;14.452;15.192;15.192;-
Jan 1. 2008;14.601;15.593;14.373;14.865;14.865;-
Dec 1. 2007;14.696;15.147;14.317;14.601;14.601;-
Nov 1. 2007;14.470;14.957;13.613;14.696;14.696;-
Oct 1. 2007;14.271;14.498;14.017;14.472;14.472;-
Sep 1. 2007;13.642;14.282;13.556;14.270;14.270;-
Aug 1. 2007;13.670;13.840;13.383;13.642;13.642;-
Jul 1. 2007;13.536;13.849;13.386;13.672;13.672;-
Jun 1. 2007;13.456;4.098.361;13.266;13.536;13.536;-
May 1. 2007;13.654;13.738;13.414;13.456;13.456;-
Apr 1. 2007;13.359;13.717;13.263;13.652;13.652;-
Mar 1. 2007;13.229;13.410;13.078;13.359;13.359;-
Feb 1. 2007;13.024;13.262;12.902;13.229;13.229;-
Jan 1. 2007;13.198;13.294;12.871;13.023;13.023;-
Dec 1. 2006;13.260;13.471;12.759;13.198;13.198;-
Nov 1. 2006;12.765;13.271;12.690;13.251;13.251;-
Oct 1. 2006;12.691;12.783;12.488;12.767;12.767;-
Sep 1. 2006;12.809;12.876;12.627;12.691;12.691;-
Aug 1. 2006;12.774;72.453;12.711;12.809;12.809;-
Jul 1. 2006;12.783;12.854;12.466;12.774;12.774;-
Jun 1. 2006;12.816;12.977;12.486;12.783;12.783;-
May 1. 2006;12.625;12.973;12.562;12.816;12.816;-
Apr 1. 2006;12.115;74.134;12.038;12.625;12.625;-
Mar 1. 2006;11.929;12.204;11.867;12.115;12.115;-
Feb 1. 2006;12.149;12.165;11.832;11.930;11.930;-
Jan 1. 2006;11.844;12.321;11.815;12.148;12.148;-
Dec 1. 2005;11.799;12.057;11.668;11.844;11.844;-
Nov 1. 2005;11.989;12.080;11.648;11.805;11.805;-
Oct 1. 2005;12.028;12.205;11.882;11.989;11.989;-
Sep 1. 2005;12.338;12.588;11.986;12.028;12.028;-
Aug 1. 2005;12.123;12.604;12.122;12.341;12.341;-
Jul 1. 2005;12.088;12.253;11.872;12.124;12.124;-
Jun 1. 2005;12.310;12.346;12.006;12.091;12.091;-
May 1. 2005;12.923;12.987;12.300;12.308;12.308;-
Apr 1. 2005;12.968;13.117;12.779;12.923;12.923;-
